power,Day,Time_of_Day,Location,Date
-101.432,0,1,0,03/18/24
-104.442,0,2,0,03/18/24
-103.736,1,3,0,03/19/24
-101.232,1,1,0,03/19/24
-102.199,1,2,0,03/19/24
-104.109,2,3,0,03/20/24
-103.648,2,0,0,03/20/24
-103.31,2,1,0,03/20/24
-104.479,3,3,0,03/21/24
-100.323,3,0,0,03/21/24
-103.231,3,1,0,03/21/24
-103.891,3,2,0,03/21/24
-104.203,4,3,0,03/22/24
-102.658,4,1,0,03/22/24
-104.368,4,2,0,03/22/24
-104.124,5,3,0,03/23/24
-103.772,5,0,0,03/23/24
-104.527,5,1,0,03/23/24
-103.632,5,2,0,03/23/24
-103.452,6,0,0,03/24/24
-103.805,6,1,0,03/24/24
-103.522,6,2,0,03/24/24
-102.749,0,3,0,03/25/24
-102.772,0,0,0,03/25/24
-102.988,0,2,0,03/25/24
-103.163,1,3,0,03/26/24
-102.961,1,0,0,03/26/24
-102.659,1,1,0,03/26/24
-102.973,1,2,0,03/26/24
-102.417,2,0,0,03/27/24
-102.953,2,1,0,03/27/24
-102.617,2,2,0,03/27/24
-102.866,3,3,0,03/28/24
-101.729,3,0,0,03/28/24
-103.815,3,2,0,03/28/24
-103.879,4,3,0,03/29/24
-103.888,4,0,0,03/29/24
-100.979,4,1,0,03/29/24
-103.681,4,2,0,03/29/24
-103.852,5,0,0,03/30/24
-103.191,5,1,0,03/30/24
-103.512,5,2,0,03/30/24
-103.704,6,3,0,03/31/24
-103.253,6,0,0,03/31/24
-103.031,6,2,0,03/31/24
-103.663,0,3,0,04/01/24
-102.83,0,0,0,04/01/24
-103.011,0,1,0,04/01/24
-102.985,0,2,0,04/01/24
-101.631,1,0,0,04/02/24
-102.352,1,1,0,04/02/24
-103.678,1,2,0,04/02/24
-103.603,2,3,0,04/03/24
-103.946,2,0,0,04/03/24
-101.918,2,2,0,04/03/24
-103.231,3,3,0,04/04/24
-103.859,3,0,0,04/04/24
-104.249,3,1,0,04/04/24
-104.078,3,2,0,04/04/24
-103.81,4,0,0,04/05/24
-103.72,4,1,0,04/05/24
-103.651,4,2,0,04/05/24
-104.007,5,3,0,04/06/24
-103.543,5,0,0,04/06/24
-103.409,5,1,0,04/06/24
-103.284,6,3,0,04/07/24
-103.245,6,0,0,04/07/24
-103.806,6,1,0,04/07/24
-103.032,6,2,0,04/07/24
-103.445,0,3,0,04/08/24
-103.342,0,1,0,04/08/24
-103.406,0,2,0,04/08/24
-103.511,1,3,0,04/09/24
-93.376,1,0,0,04/09/24
-104.065,1,1,0,04/09/24
-103.711,2,3,0,04/10/24
-102.449,2,0,0,04/10/24
-103.86,2,1,0,04/10/24
-103.266,2,2,0,04/10/24
-103.699,3,3,0,04/11/24
-104.181,3,1,0,04/11/24
-103.925,3,2,0,04/11/24
-103.492,4,3,0,04/12/24
-103.16,4,0,0,04/12/24
-104.13,4,1,0,04/12/24
-103.18,4,2,0,04/12/24
-103.937,5,0,0,04/13/24
-104.087,5,1,0,04/13/24
-104.308,5,2,0,04/13/24
-104.144,6,3,0,04/14/24
-102.099,6,0,0,04/14/24
-104.624,6,2,0,04/14/24
-103.212,0,3,0,04/15/24
-103.643,0,0,0,04/15/24
-103.477,0,1,0,04/15/24
-103.608,0,2,0,04/15/24
-103.249,1,3,0,04/16/24
-104.263,1,1,0,04/16/24
-103.889,1,2,0,04/16/24
-104.282,2,3,0,04/17/24
-101.97,2,0,0,04/17/24
-103.855,2,1,0,04/17/24
-103.875,2,2,0,04/17/24
-103.514,3,0,0,04/18/24
-95.912,3,1,0,04/18/24
-103.973,3,2,0,04/18/24
-103.878,4,3,0,04/19/24
-104.32,4,0,0,04/19/24
-103.127,4,2,0,04/19/24
-104.121,5,3,0,04/20/24
-104.183,5,0,0,04/20/24
-104.852,5,1,0,04/20/24
-104.305,5,2,0,04/20/24
-103.872,6,0,0,04/21/24
-104.372,6,1,0,04/21/24
-104.603,6,2,0,04/21/24
-104.505,0,3,0,04/22/24
-104.131,0,0,0,04/22/24
-102.58,0,2,0,04/22/24
-104.361,1,3,0,04/23/24
-104.284,1,0,0,04/23/24
-104.638,1,1,0,04/23/24
-103.046,1,2,0,04/23/24
-104.478,2,0,0,04/24/24
-104.22,2,1,0,04/24/24
-102.832,2,2,0,04/24/24
-104.564,3,3,0,04/25/24
-103.317,3,0,0,04/25/24
-104.755,3,2,0,04/25/24
-104.382,4,3,0,04/26/24
-102.645,4,0,0,04/26/24
-103.198,4,1,0,04/26/24
-103.645,4,2,0,04/26/24
-103.473,5,0,0,04/27/24
-102.945,5,1,0,04/27/24
-102.89,5,2,0,04/27/24
-103.318,6,3,0,04/28/24
-103.444,6,0,0,04/28/24
-98.274,6,1,0,04/28/24
-103.146,0,3,0,04/29/24
-103.0,0,0,0,04/29/24
-103.805,0,1,0,04/29/24
-104.217,0,2,0,04/29/24
-104.364,1,0,0,04/30/24
-104.352,1,1,0,04/30/24
-104.348,1,2,0,04/30/24
-104.055,2,3,0,05/01/24
-104.304,2,0,0,05/01/24
-103.689,2,2,0,05/01/24
-104.245,3,3,0,05/02/24
-103.716,3,0,0,05/02/24
-104.492,3,1,0,05/02/24
-104.218,3,2,0,05/02/24
-104.099,4,3,0,05/03/24
-102.022,4,1,0,05/03/24
-104.052,4,2,0,05/03/24
-104.038,5,3,0,05/04/24
-104.519,5,0,0,05/04/24
-104.523,5,1,0,05/04/24
-104.628,6,3,0,05/05/24
-102.316,6,0,0,05/05/24
-103.504,6,1,0,05/05/24
-103.891,6,2,0,05/05/24
-103.993,0,0,0,05/06/24
-103.766,0,1,0,05/06/24
-102.929,0,2,0,05/06/24
-102.86,1,3,0,05/07/24
-102.959,1,0,0,05/07/24
-103.345,1,1,0,05/07/24
-103.563,2,3,0,05/08/24
-101.697,2,0,0,05/08/24
-104.074,2,1,0,05/08/24
-103.811,2,2,0,05/08/24
-104.003,3,3,0,05/09/24
-104.858,3,1,0,05/09/24
-104.362,3,2,0,05/09/24
-103.88,4,3,0,05/10/24
-104.336,4,0,0,05/10/24
-103.876,4,1,0,05/10/24
-103.913,4,2,0,05/10/24
-103.747,5,0,0,05/11/24
-104.601,5,1,0,05/11/24
-104.156,5,2,0,05/11/24
-103.304,6,3,0,05/12/24
-104.424,6,0,0,05/12/24
-103.115,6,2,0,05/12/24
-104.376,0,3,0,05/13/24
-104.286,0,0,0,05/13/24
-104.792,0,1,0,05/13/24
-104.781,0,2,0,05/13/24
-104.214,1,0,0,05/14/24
-102.311,1,1,0,05/14/24
-104.912,1,2,0,05/14/24
-103.918,2,3,0,05/15/24
-104.119,2,0,0,05/15/24
-105.065,2,1,0,05/15/24
-104.577,3,3,0,05/16/24
-103.827,3,0,0,05/16/24
-103.056,3,1,0,05/16/24
-104.587,3,2,0,05/16/24
-104.617,4,3,0,05/17/24
-102.554,4,0,0,05/17/24
-105.045,4,2,0,05/17/24
